x, y
0, 2.4957264631222453
19.2000085693357, 1.863247798039363
39.00000796508765, 1.5
59.40002565307541, 1.2606836954752603
79.79998840942419, 1.0897435897435896
99.59998780517618, 0.9700853396684695
120.0000054931639, 0.8675212371043669
139.19998659668008, 0.7948717948717948
160.20002257690362, 0.7350426698342347
179.4000036804198, 0.6709401057316706
199.8000213684076, 0.6367520063351362
220.8000024169921, 0.5940170288085938
239.40002015991152, 0.5769230769230769
260.400001208496, 0.5427349775265424
280.200000604248, 0.5170939518855168
300, 0.49572636530949515
