x, y
0.5976004066254038, 2.491539698566882
20.31874210198135, 1.5101522842639594
40.63742949117654, 1.1040609137055837
60.358543830139425, 0.8798645716633289
80.67728593212074, 0.7445007169307186
100.99602803410212, 0.6514381757242426
119.52188684702796, 0.5922164529713277
139.24300118599078, 0.5414550316515307
160.15937105099067, 0.49915371812539655
200.79680054216723, 0.43993218901193687
221.71311569438097, 0.4230115861457011
240.83665698311145, 0.40186112302208915
261.15534437230673, 0.3934010152284264
280.8764587112695, 0.37648041236219065
301.79282857626936, 0.3722501648259042
