x, y
0.5917069474620705, 2.495769849447266
20.118361253004807, 1.0617597526991887
39.64498847193969, 0.6895094086503002
60.355029585798825, 0.520304548377621
80.4733908388036, 0.4145514622973346
100.00001805773854, 0.35532993547739966
140.23668639053255, 0.2749575590740704
160.94672750439165, 0.24957684939711328
180.4733547233265, 0.23688649455863472
200.5917159763313, 0.2157360322541355
220.11834319526628, 0.20727592478811488
239.6449704142012, 0.1903553225771784
259.76333166720605, 0.18612507520472046
279.8816387469952, 0.18189521511115778
300.5917340340699, 0.16497461290022128
